id;name;spec;spec_input;tools;quality;failed;critical;botch;src
40;Sagen & Legenden;1?Albernia&&2?Almada&&3?Garetien&&4?Kosch&&5?Nordmarken&&6?Rommilyser Mark&&7?Tobrien&&8?Weiden&&9?Windhag&&10?Al'Anfanisches Imperium&&11?Andergast&&12?Aranien&&13?Bergkönigreiche der Zwerge&&14?Bornland&&15?Gjalskerland&&16?Hoher Norden&&17?Horasreich&&18?Kalifat&&19?Maraskan&&20?Nostria&&21?Orkland&&22?Salamandersteine & umliegende Gebiete der Elfen&&23?Schattenlande&&24?Südmeer & Waldinseln&&25?Svellttal&&26?Thorwal&&27?Tiefer Süden&&28?Tulamidenlande&&29?Zyklopeninseln;;;;;;;
41;Sphärenkunde;1?Limbus&&2?Sphärenwesen&&3?1. Sphäre&&4?2. Sphäre&&5?3. Sphäre&&6?4. Sphäre&&7?5. Sphäre&&8?6. Sphäre&&9?7. Sphäre;;;;;;;
42;Sternkunde;1?Astrologie&&2?Himmelskartographie&&3?Kalendarium;;;;;;;
43;Alchimie;1?Alchimistische Gifte&&2?Elixiere&&3?Profane Alchimie;;;;;;;
44;Boote & Schiffe;1?Kampfmanöver&&2?Langstrecke&&3?Verfolgungsjagden&&4?Wettfahren;;;;;;;
45;Fahrzeuge;1?Kampfmanöver&&2?Langstrecke&&3?Verfolgungsjagden&&4?Wettrennen;;;;;;;
46;Handel;1?Buchhaltung&&2?Feilschen&&3?Geldwechsel;;;;;;;
47;Heilkunde Gift;1?Alchimistisches Gift&&2?Mineralisches Gift&&3?Pflanzliches Gift&&4?Tierisches Gift;;;;;;;
48;Heilkunde Krankheiten;1?Flinker Difar&&2?Lutanas&&3?Rascher Wahn&&4?Sumpffieber/Brabaker Schweiß&&5?Zorganpocken;;;;;;;
49;Heilkunde Seele;1?Unterdrückung von Ängsten&&2?Unterdrückung von Persönlichkeitsschwächen&&3?Unterdrückung von Schlechten Eigenschaften;;;;;;;
50;Heilkunde Wunden;1?Heilung fördern&&2?Schmerzen nehmen&&3?Stabilisieren;;;;;;;
51;Holzbearbeitung;1?Schlagen & Schneiden&&2?Tischlerarbeiten&&3?Zimmermannsarbeiten;;;;;;;
52;Lebensmittelbearbeitung;1?Ausnehmen&&2?Backen&&3?Braten & Sieden&&4?Brauen&&5?Haltbarmachung;;;;;;;
53;Lederbearbeitung;1?Gerben&&2?Kürschnern&&3?Lederwaren herstellen;;;;;;;
54;Malen & Zeichnen;1?Malen&&2?Ritzen&&3?Zeichnen;;;;;;;
55;Metallbearbeitung;1?Feinschmiedearbeiten&&2?Grobschmiedearbeiten&&3?Metallguss&&4?Verhütten;;;;;;;
56;Musizieren;1?Blasinstrumente&&2?Saiteninstrumente&&3?Trommeln;;;;;;;
57;Schlösserknacken;1?Bartschlösser&&2?Kombinationsschlösser;;;;;;;
58;Steinbearbeitung;1?Maurerarbeiten&&2?Steine brechen&&3?Steinmetzarbeiten;;;;;;;
59;Stoffbearbeitung;1?Färben&&2?Filzen&&3?Schneidern&&4?Spinnen&&5?Weben;;;;;;;
